TITLE,MODEL,DESCRIPTION,CONDITION,AVAILABILITY_STATUS,PRICE_LIST,PRICE
Karcher - Curatitor cu apa sub presiune HDS 8/18-4 CX,1.174-906.0,"Aparat cu 3 faze cu apa calda cu motor in 4 poli, racit cu apa, electric, spatii de depozitare, nivel Eco, operare de la 1 buton, rezervor integrat pistol Easy Press, reglare continua a presiunii/ debitului apei, etc.,Varianta CX vine cu: ,Tambur in partea din spate pentru strangerea furtunului de presiune ,s,i furtun de 15 m.,Curatitoarele cu presiune HDS sunt extrem de eficiente impotriva COVID-19 datorita:,-  apei calde cu presiune care ajunge la 100° ,-  aburului care ajunge pana la 155°,La aceste temperaturi sunt distrusi 99.99% din virusi.,cod comanda: 1.174-906.0",Nou,,20398.0,
Karcher - MASINA DE FRECAT ASPIRAT BD 70/75 W Classic Bp Pack 115Ah,1.127-027.0,"Acumulatorul AGM integrat, cu o capacitate de 115 Ah, garantează faptul că mașina noastră de frecat și uscat BD 70/75 W Classic Bp Pack, are o durată mare de funcţionare. Maşină robustă, versatilă.,cod comanda: ,1.127-027.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 9/23 G, 1.187-906.0,"Cu Aparatul de curatat cu inalta presiune cu apa rece HD 9/23 G cu motor Honda pe benzina, puteti lucra independent si comod, in regim mobil - chiar in cele mai nefavorabile conditii,cod comanda: 1.187-906.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 10/16-4 Cage Ex,1.353-904.0,"Noul aparat HD 10/16-4 Cage Ex a fost dezvoltat de catre Kärcher, cel mai mare producator mondial de aparate de curatat cu inalta presiune, pentru utilizari speciale in zone periculoase.,cod comanda: 1.353-904.0",Nou,,0.0,
Karcher - Curatitor cu apa sub presiune HD 13/18-4 S Plus,1.292-100.0,"Curatitor cu inalta presiune, fara incalzire, in pozitie verticala. Servo Control pentru reglarea presiunii si a debitului apei direct de pe pistol, intrerupator de presiune, pistol Easy-Press cu maner cu prindere moale, lance de pulverizare pivotanta din otel inoxidabil, rezervor pentru detergent, compartiment separat pentru duze.,Cod de comanda:1.292-100.0",Nou,,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 13/18 SX Plus,1.286-936.0,"HD 13/18-4 SX Plus - Aparatul de curatat cu inalta presiune vertical ce impresioneaza cu pistolul ,EASY!Force,, comutatorul pentru reglarea presiunii si Servo Control.,Varianta Sx vine in plus cu:,- tambur pentru strangerea furtunului de presiune,- furtun de presiune de 20m,cod comanda: 1.286-936.0",Nou,La comanda,0.0,
Karcher - Aparat de curatat cu inalta presiune HD 13/18-4 S Plus,1.286-932.0,"HD 13/18-4 S Plus - Aparatul de curatat cu inalta presiune vertical ce impresioneaza cu pistolul ,EASY!Force,, comutatorul pentru reglarea presiunii si Servo Control.,cod comanda: 1.286-932.0",Nou,La comanda,0.0,
Karcher - Curatitor cu apa sub presiune HD 10/25-4 Cage Plus,1.286-131.0,"Curatitor cu inalta presiune fara incalzire pentru utilizarea extrem de dura.,Cod de comanda:1.286-131.0",Nou,,0.0,
Karcher - Curatitor cu apa sub presiune HDS 6/14 CX,1.169-905.0,"HDS 6/14 CX cu o singura faza - curatitor cu apa calda sub presiune cu modul eco!efficiency, pistol EASY!Force si Servo Control.,Varianta Cx vine in plus cu:,- tambur pentru strangerea furtunului de presiune,- furtun de presiune de 15m,Cod de comanda:1.169-905.0",Nou,La comanda,0.0,
Karcher - Curatitor cu apa sub presiune HDS 6/14 C,1.169-900.0,"HDS 6/14 C cu o singura faza - curatitor cu apa calda sub presiune cu modul eco!efficiency, pistol EASY!Force si Servo Control, presiune variabila si functie de reglare adebitului de la Kaercher.,Cod de comanda:1.169-900.0",Nou,La comanda,0.0,
